event,sta,P,S
EV01,TF07b,4.7781,8.2682
EV01,TF09b,3.6782,6.4181
EV01,TF10b,3.2381,5.6081
EV01,TF11b,4.2481,7.338099999999999
EV01,TF12,2.7881,4.7581999999999995
EV01,TF13,4.948200000000001,9.0282
EV01,TF14,4.458200000000001,7.7881
EV01,TF15b,4.4182,8.5282
EV01,TF16,2.4781,4.3682
EV01,TF17,2.9781999999999997,5.1982
EV01,TF18,6.7881,12.1782
EV01,TF19,2.8781,4.9882
EV02,TF07b,4.6299,7.9499
EV02,TF09b,3.5299,6.0699
EV02,TF10b,3.0599000000000003,5.34
EV02,TF11b,4.4799,7.739899999999999
EV02,TF12,2.6399,4.5199
EV02,TF13,4.9999,9.2099
EV02,TF14,4.2399,7.460000000000001
EV02,TF15b,4.5699,8.450000000000001
EV02,TF16,2.3999,4.1999
EV02,TF17,2.8599,5.0099
EV02,TF18,6.1699,12.2099
EV02,TF19,2.65,4.559900000000001
EV03,TF07b,4.8374,8.1874
EV03,TF09b,3.9874,6.8574
EV03,TF10b,3.5474,6.1474
EV03,TF11b,4.2574000000000005,7.3474
EV03,TF12,3.1374,5.4374
EV03,TF13,5.1774,9.2775
EV03,TF14,4.6373999999999995,8.127400000000002
EV03,TF15b,4.5774,8.3374
EV03,TF16,2.7973999999999997,4.977399999999999
EV03,TF17,3.2974,5.5174
EV03,TF18,6.9274,
EV03,TF19,3.1274,5.4974
EV04,TF07b,8.466,14.656
EV04,TF09b,6.3759,11.036
EV04,TF10b,7.0959,12.236
EV04,TF12,7.796,13.4559
EV04,TF13,7.1059,12.726
EV04,TF14,5.746,10.016
EV04,TF16,8.916,15.636
EV04,TF17,9.0759,15.886
EV04,TF18,5.6859,10.2059
EV04,TF19,7.606,13.3859
EV05,TF07b,5.7813,9.8913
EV05,TF09b,4.6713,8.0814
EV05,TF10b,4.1113,7.1014
EV05,TF12,3.3813,5.791300000000001
EV05,TF13,5.2113,9.3313
EV05,TF14,5.761299999999999,9.8614
EV05,TF16,3.0913,5.4513
EV05,TF17,3.6313,6.3713
EV05,TF19,4.1314,7.1613
EV06,TF09b,2.8507,4.9806
EV06,TF11b,6.5405999999999995,11.3106
EV06,TF12,3.7506,6.6207
EV06,TF13,4.8606,9.000599999999999
EV06,TF14,2.6707,4.780600000000001
EV06,TF16,4.2506,7.7006
EV06,TF17,4.4807,7.8906
EV06,TF18,5.3807,9.8006
EV06,TF19,3.1207000000000003,5.5506
