soal,sta,amp_mm,hypo_km
EV05,TF07a,0.33915,27.15
EV04,TF07b,0.0296274,25.15
EV03,TF07b,0.0057915,28.32
EV02,TF07b,0.00371017,26.79
EV06,TF07b,0.142486,24.13
EV01,TF07b,0.00232124,24.9
EV05,TF09a,1.06566,26.68
EV04,TF09b,0.11118,16.88
EV03,TF09b,3.00535,3.98
EV02,TF09b,0.00932034,17.93
EV06,TF09b,2.97893,13.74
EV01,TF09b,0.0242245,9.25
EV05,TF10a,0.272205,27.53
EV04,TF10a,0.0613258,23.67
EV02,TF10b,0.00721414,19.66
EV06,TF10b,1.80106,15.21
EV01,TF10b,0.00702949,9.59
EV05,TF11a,0.348552,31.27
EV04,TF11b,0.0793529,27.73
EV03,TF11b,0.0116078,38.01
EV02,TF11b,0.00345941,42.4
EV06,TF11b,0.568126,38.68
EV01,TF11b,0.0028416,34.32
EV05,TF12,0.806385,17.94
EV04,TF12,0.0639804,13.52
EV03,TF12,0.0594214,13.02
EV02,TF12,0.00947409,22.84
EV06,TF12,1.14783,18.36
EV01,TF12,0.00549865,12.48
EV05,TF13,0.524424,28.27
EV04,TF13,0.0353613,24.63
EV03,TF13,0.0284727,15.88
EV02,TF13,0.00804942,27.93
EV06,TF13,0.763994,24.92
EV05,TF14,0.968595,23.39
EV04,TF14,0.0336508,21.48
EV03,TF14,0.120217,7.81
EV02,TF14,0.00815928,16.66
EV06,TF14,1.04519,13.56
EV01,TF14,0.00367322,12.59
EV05,TF15a,0.409678,20.09
EV04,TF15a,0.102342,16.7
EV03,TF15a,0.0143742,25.41
EV06,TF15b,0.312356,32.55
EV05,TF16,0.403432,16.55
EV04,TF16,0.063471,12.91
EV03,TF16,0.00900898,19.66
EV02,TF16,0.000848252,25.16
EV06,TF16,0.56169,20.69
EV01,TF16,0.00136046,16.2
EV05,TF17,0.940666,17.73
EV04,TF17,0.157965,15.43
EV03,TF17,0.0315007,23.53
EV02,TF17,0.0107905,26.55
EV06,TF17,2.12739,22.39
EV01,TF17,0.00529027,19.3
EV05,TF18,0.609865,35.34
EV04,TF18,0.0138393,32.79
EV03,TF18,0.0274302,18.46
EV02,TF18,0.0023766,28.84
EV06,TF18,0.162201,27.28
EV05,TF19,1.04786,15.94
EV04,TF19,0.318063,13.5
EV03,TF19,0.0136456,15.28
EV02,TF19,0.00345799,19.62
EV06,TF19,1.83554,15.05
EV01,TF19,0.00203138,12.23
