id,waktu,lat,lon,depth,M,tempat,strike,dip,rake,strike2,dip2,rake2,mrr,mtt,mpp,mrt,mrp,mtp,m0
official20041226005853450_30,2004-12-26,3.295,95.982,30.0,9.1,2004 Sumatra - Andaman Islands Earthquake,335.0,7.0,113.0,131.0,83.0,87.0,1.601e+22,-5.412e+21,-1.06e+22,4.894e+22,-4.279e+22,5.928e+21,6.678e+22
official20050328160936530_30,2005-03-28,2.085,97.108,30.0,8.6,"78 km WSW of Singkil, Indonesia",329.0,10.0,107.0,131.0,80.0,87.0,2.947e+21,-1.222e+21,-1.725e+21,6.318e+21,-5.418e+21,1.722e+21,8.879e+21
official20070912111026830_34,2007-09-12,-4.438,101.367,34.0,8.4,"122 km SW of Bengkulu, Indonesia",323.0,11.0,103.0,130.0,79.0,87.0,1.923e+21,-9.27e+20,-9.97e+20,3.811e+21,-3.115e+21,1.033e+21,5.298e+21
usp000fn2b,2007-09-12,-2.625,100.841,35.0,7.9,"87 km SW of Sungai Penuh, Indonesia",320.0,19.0,104.0,124.0,71.0,84.0,4.152e+20,-2.317e+20,-1.835e+20,4.75e+20,-3.044e+20,2.295e+20,7.077e+20
usp000hat0,2010-04-06,2.383,97.048,31.0,7.8,"75 km E of Sinabang, Indonesia",315.0,9.0,97.0,127.0,80.0,88.0,1.558e+20,-8.975e+19,-6.609e+19,3.791e+20,-2.84e+20,8.205e+19,4.995e+20
usp000hnj4,2010-10-25,-3.487,100.082,20.1,7.8,"215 km SW of Sungai Penuh, Indonesia",324.0,8.0,95.0,138.0,81.0,89.0,1.45e+20,-5.429e+19,-9.075e+19,3.425e+20,-3.901e+20,8.062e+19,5.405e+20
us10004u1y,2016-03-02,-4.9521,94.3299,24.0,7.8,"southwest of Sumatra, Indonesia",274.0,84.0,169.0,5.0,79.0,6.0,3.25e+19,-1.012e+20,6.88e+19,-1.007e+20,5.99e+19,-5.66e+20,5.85e+20
usp000ensm,2006-07-17,-9.284,107.419,20.0,7.7,"226 km SSW of Singaparna, Indonesia",284.0,9.0,86.0,107.0,81.0,90.0,1.283e+20,-1.163e+20,-1.2e+19,3.722e+20,-1.185e+20,3.195e+19,4.107e+20
usp000gs2d,2009-01-03,-0.414,132.885,17.0,7.7,"140 km WNW of Manokwari, Indonesia",312.0,66.0,103.0,102.0,26.0,62.0,2.303e+20,-1.923e+20,-3.806e+19,-1.433e+20,1.716e+20,1.097e+20,3.283e+20
us7000j36j,2023-01-09,-7.0586,130.009,104.95,7.6,"Pulau Pulau Tanimbar, Indonesia",94.82,43.77,53.67,320.34,56.13,119.58,2.5404e+20,-2.2767e+20,-2.637e+19,2.96e+18,1.3823e+20,1.4296e+20,3.13e+20
usp000h237,2009-09-30,-0.72,99.867,81.0,7.6,"30 km WSW of Pariaman, Indonesia",189.0,58.0,47.0,69.0,50.0,137.0,1.71e+20,-5.071e+19,-1.203e+20,7.474e+19,-9.941e+19,-1.686e+20,2.589e+20
usp000e8ys,2006-01-27,-5.473,128.131,397.0,7.6,"196 km S of Ambon, Indonesia",166.0,63.0,236.0,43.0,41.0,-41.0,-2.518e+20,-7.57e+19,3.275e+20,-1.316e+20,1.702e+20,1.158e+20,3.846e+20
